Session,Created At,ACUs Used
GitHub PRデータ検証,"May 31, 2025",12.37
HTMLレンダリング改善,"May 30, 2025",2.56
Slack channel information update,"May 30, 2025",5.42
Slack message volunteer questions,"May 29, 2025",1.21
Slack repo setup,"May 29, 2025",3.23
Slack channel rate limit issue,"May 28, 2025",4.61
YouTube動画一覧CSV,"May 28, 2025",3.35
Github Action移植設計,"May 27, 2025",9.69
Check GitHub link,"May 27, 2025",1.12
Received Slack message,"May 18, 2025",0.35
Change metadata titles,"May 07, 2025",0.6
Add demo URLs to Readme,"May 07, 2025",0.55
動かせるか確認,"May 07, 2025",0.2
PR422コンフリクト解決,"May 07, 2025",2.37
PR review for kouchou-ai,"May 07, 2025",0.46
Share Devinwiki on GitHub,"May 06, 2025",0.51
Polimoney devin wiki日本語訳,"May 06, 2025",0.86
ListFilterアイコン変更場所洗い出し,"May 06, 2025",0.53
コードレビュー,"May 06, 2025",0.54
Polimoney wiki反映,"May 06, 2025",1.08
Received Slack message,"Jun 07, 2025",0.19
issue実装依頼,"Jun 07, 2025",1.05
Devin API 統計作成,"Jun 07, 2025",3.11
PRレビュー準備,"Jun 07, 2025",1.84
Change postermap headers title,"Jun 07, 2025",2.63
After Effects intro outro animation,"Jun 07, 2025",0.56
issue実装依頼,"Jun 06, 2025",11.88
issue実装依頼,"Jun 06, 2025",2.57
欠番分析修正,"Jun 05, 2025",2.41
Github Actions PR収集問題,"Jun 05, 2025",2.25
issue実装とマイグレーション作成,"Jun 05, 2025",0.69
issue実装とマイグレーション作成,"Jun 05, 2025",7.82
issue実装とマイグレーション作成,"Jun 05, 2025",0.57
Slack message issue update,"Jun 03, 2025",1.58
Fix bug in Slack message,"Jun 03, 2025",7.54
OpenRouter対応と音声合成改善,"Jun 02, 2025",0.5
日次PRデータ収集改善,"Jun 02, 2025",4.9
Create knowledge repo,"Jun 02, 2025",0.71
Slack message about map display,"May 31, 2025",1.41
Slack issue対応計画提示,"May 31, 2025",16.18
